ra,dec,redshift,class
183.5313257,0.08969303,-8.96E-06,STAR
183.5983705,0.135285032,-5.49E-05,STAR
183.6802074,0.126185092,0.1231112,GALAXY
183.8705294,0.049910685,-0.000110616,STAR
183.8832883,0.102556752,0.000590357,STAR
183.8471736,0.173694164,0.000314603,STAR
183.864379,0.019200711,0.1002423,GALAXY
183.9000814,0.187473297,0.000314848,STAR
183.9245885,0.097245782,8.91E-05,STAR
183.9734977,0.081625582,0.04050813,GALAXY
183.9791945,0.135997822,-3.46E-05,STAR
184.0853311,0.112110022,0.000622774,STAR
184.1020979,0.191510916,5.47E-05,STAR
184.1605102,0.075645313,8.3E-06,STAR
184.1895738,0.099482468,0.07208736,GALAXY
184.3506466,0.207229523,0.2719369,QSO
184.2217972,0.046955181,0.000209974,STAR
184.2456643,0.198257077,1.178098,QSO
184.3888696,0.068287428,0.000240098,STAR
184.3809191,0.17432277,0.07277206,GALAXY
184.4668531,0.111965321,-0.000270218,STAR
184.5694109,0.137091485,-3.55E-05,STAR
184.6541703,0.122673446,0.9251733,QSO
184.6587955,0.159935507,4.31E-06,STAR
184.5168342,0.145549586,8.8E-05,STAR
184.6185631,0.080576269,0.1167829,GALAXY
184.6274079,0.013234086,0.02129653,GALAXY
184.6767619,0.059441869,0.000175365,STAR
184.7119696,0.066571901,0.00017238,STAR
184.7702039,0.19801005,0.000519808,STAR
184.7826977,0.140979369,0.1169446,GALAXY
184.7651553,0.080985794,0.06807999,GALAXY
184.8635981,0.143469363,0.000135947,STAR
184.8641903,0.143441662,0.000158087,STAR
184.8755286,0.033060812,-0.000167378,STAR
184.8763144,0.185151372,0.000692428,STAR
184.9569855,0.156360267,0.000304361,STAR
184.8321997,0.044306547,0.1506381,GALAXY
184.9722153,0.097754241,0.00057828,STAR
184.9942751,0.109160933,0.000704736,STAR
185.0012555,0.069723829,-0.000676195,STAR
185.0650695,0.142442894,-0.000503256,STAR
185.0859131,0.099953851,7.61E-05,STAR
185.0273854,0.095346099,0.1183854,GALAXY
185.0363883,0.17667755,0.1575296,GALAXY
185.1643757,0.074358069,2.044347,QSO
185.2170514,0.155193816,0.000250291,STAR
185.1367288,0.071514063,0.1585163,GALAXY
